"Accepted Symbol","Synonym Symbol","Scientific Name","Invasive","C:N Ratio","Growth Rate","Height at Base Age, Maximum (feet)","Height, Mature (feet)","Leaf Retention","Nitrogen Fixation","Adapted to Coarse Textured Soils","Adapted to Medium Textured Soils","Frost Free Days, Minimum","Moisture Use","pH (Minimum)","pH (Maximum)","Precipitation (Minimum)","Precipitation (Maximum)","Root Depth, Minimum (inches)","Shade Tolerance","Temperature, Minimum (°F)","Commercial Availability","Propogated by Seed","Palatable Browse Animal"
"GLOB","","Glyceria obtusa","","","Rapid","","3.3","No","None","No","Yes","140","High","4.0","7.0","40","50","4","Tolerant","-8","Routinely Available","No","Medium"
"GLST","","Glyceria striata","","","Moderate","","5.7","No","None","No","Yes","100","Medium","4.0","8.0","10","60","4","Tolerant","-35","Routinely Available","No","Low"
"GLMA4","","Glycine max","SWSS","Low","Rapid","","3.0","No","Medium","Yes","Yes","140","Medium","5.5","7.8","16","59","8","Intolerant","-28","Routinely Available","Yes","High"
"GOLA","","Gordonia lasianthus","","High","Slow","40","65","Yes","None","Yes","Yes","230","High","4.5","6.3","44","70","20","Tolerant","-4","Routinely Available","Yes","High"
"GOTO","","Gossypium tomentosum","","High","Moderate","6","6.0","Yes","None","Yes","Yes","365","Medium","6.0","7.0","15","35","16","Intermediate","50","Routinely Available","Yes",""
"GRRO","","Grevillea robusta","HEAR","High","Rapid","100","105","Yes","None","Yes","Yes","365","Medium","5.3","7.0","30","95","36","Intolerant","17","Routinely Available","Yes",""
"GUOF","","Guaiacum officinale","","","Slow","45","30","Yes","None","Yes","Yes","365","","6.0","8.0","40","60","36","Intolerant","40","Routinely Available","Yes",""
"HAVI4","","Hamamelis virginiana","","Medium","Slow","15","20","No","None","No","Yes","120","Medium","4.5","6.2","30","60","20","Intermediate","-28","Routinely Available","Yes","Low"
"HEHE","","Hedera helix","Cal-IPC, SEEPPC, STATE, WI","High","Moderate","","5.0","No","None","Yes","Yes","160","Medium","5.2","7.8","28","65","12","Tolerant","-23","Routinely Available","No","Low"
"HEAL","","Hedysarum alpinum","","Medium","Rapid","","2.0","No","Low","Yes","Yes","120","Medium","6.0","8.0","28","80","12","Intolerant","-62","Routinely Available","Yes","High"
"HEBO","","Hedysarum boreale","","Low","Moderate","","2.0","No","Medium","Yes","Yes","120","Medium","5.2","8.0","12","18","16","Intolerant","-38","Routinely Available","Yes","High"
"HEAU","","Helenium autumnale","NE&GP","","Rapid","","4.9","No","None","Yes","Yes","100","Medium","4.0","7.5","10","60","6","Intolerant","-43","Routinely Available","Yes","Low"
"HEFL","","Helenium flexuosum","","","Moderate","","3.2","No","None","Yes","Yes","140","Low","4.5","7.5","20","60","6","Intolerant","-28","Routinely Available","Yes","Medium"
"HEAN2","","Helianthus angustifolius","","","Moderate","","5.6","No","None","Yes","Yes","160","Medium","4.0","7.0","25","65","6","Intermediate","-28","Routinely Available","Yes","High"
"HEAN3","","Helianthus annuus","NE&GP, STATE, SWSS, WSWS","","Rapid","","9.0","No","None","Yes","Yes","80","Medium","5.5","7.8","12","60","8","Intolerant","52","Routinely Available","Yes","Medium"
"HEGR4","","Helianthus grosseserratus","NE&GP","Medium","Moderate","","5.0","No","None","Yes","Yes","90","Medium","5.8","7.3","20","40","12","Intolerant","-43","Routinely Available","Yes","High"
"HENU","","Helianthus nuttallii","WSWS","Medium","Moderate","","10","No","None","No","Yes","120","Medium","5.9","7.5","12","20","14","Intolerant","-38","Routinely Available","Yes","Medium"
"HETU","","Helianthus tuberosus","N'EAST, NE&GP, SWSS","","Rapid","","9.8","No","None","Yes","Yes","100","Low","4.0","7.0","15","55","6","Intermediate","-43","Routinely Available","Yes","High"
"HEMER","","Hemerocallis","","Medium","Rapid","","3.0","No","None","Yes","Yes","110","Medium","4.8","8.0","28","60","16","Intermediate","-23","Routinely Available","Yes","Low"
"HEMA80","","Heracleum maximum","","Medium","Moderate","","8.0","No","None","Yes","Yes","110","High","5.4","7.3","14","45","12","Intolerant","-38","Routinely Available","Yes","Medium"
"HEAR22","","Hesperocyparis arizonica","","","","","","","","","","","","","","","","","","","","",""
"HEAR22","CUAR","Cupressus arizonica","","High","Moderate","25","50","Yes","None","Yes","Yes","120","Low","6.1","7.9","16","30","12","Tolerant","-23","Routinely Available","Yes","Low"
"HECOC8","","Hesperostipa comata ssp. comata","","High","Moderate","","3.0","No","None","Yes","Yes","130","Low","6.6","8.4","5","20","16","Intolerant","-38","Routinely Available","Yes","Medium"
"HESA3","","Heuchera sanguinea","","Medium","Moderate","","1.5","No","None","Yes","Yes","145","Medium","5.2","8.0","12","55","10","Intermediate","-23","Routinely Available","Yes",""
"HILA2","","Hibiscus laevis","","Medium","Moderate","","8.0","No","None","No","Yes","140","High","5.5","7.2","32","60","12","Intermediate","-13","Routinely Available","Yes","Low"
"HIMO","","Hibiscus moscheutos","","","Rapid","","6.6","No","None","No","Yes","160","High","4.0","7.5","35","65","10","Intolerant","-13","Routinely Available","Yes","Low"
"HIOD","","Hierochloe odorata","","Medium","Moderate","","2.0","No","None","Yes","Yes","130","High","5.7","7.4","16","50","12","Intermediate","-38","Routinely Available","Yes","Medium"
"HIRH80","","Hippophae rhamnoides","","High","Rapid","18","18","No","Medium","Yes","Yes","100","Low","6.5","8.0","26","50","18","Intolerant","-38","Routinely Available","Yes","Low"
"HOLA","","Holcus lanatus","Cal-IPC, HEAR, N'EAST, WSWS","","Moderate","","3.3","No","None","Yes","Yes","120","Low","4.0","7.0","20","65","4","Intermediate","-23","Routinely Available","Yes","Low"
"HOBR2","","Hordeum brachyantherum","","Medium","Moderate","","2.0","No","None","Yes","Yes","100","Medium","6.0","8.5","20","80","6","Intolerant","-43","Routinely Available","Yes","Low"
"HOVU","","Hordeum vulgare","SWSS","Medium","Rapid","","2.5","No","None","No","Yes","90","Medium","5.0","8.5","12","100","10","Intolerant","-43","Routinely Available","Yes","Medium"
"HUTO","","Hudsonia tomentosa","","High","Slow","","1.0","No","None","Yes","No","170","Low","5.5","6.9","35","55","26","Intolerant","-13","Routinely Available","Yes","Low"
"HYMA7","","Hydrangea macrophylla","","High","Rapid","4","4.0","No","None","Yes","Yes","145","Low","4.5","8.0","35","55","12","Tolerant","-13","Routinely Available","No","Low"
"HYCO","","Hymenaea courbaril","","","Slow","30","65","Yes","Low","Yes","No","365","","5.5","7.5","35","90","36","Tolerant","40","Routinely Available","Yes","Low"
"HYLI","","Hymenocallis liriosme","","Medium","Rapid","","3.0","No","None","No","Yes","200","Medium","5.5","9.0","30","60","12","Intolerant","3","Routinely Available","Yes",""
"HYOCO","","Hymenocallis occidentalis var. occidentalis","","","","","","","","","","","","","","","","","","","","",""
"HYOCO","HYCA9","Hymenocallis caroliniana","","Medium","Moderate","","2.0","No","None","Yes","Yes","175","High","5.0","7.0","32","55","10","Intermediate","-3","Routinely Available","Yes",""
"HYAN2","","Hypericum anagalloides","","Medium","Rapid","","0.8","No","None","No","Yes","65","High","6.0","8.0","16","45","7","Intermediate","47","Routinely Available","Yes",""
"HYCA10","","Hypericum calycinum","","Medium","Rapid","","0.8","No","None","Yes","Yes","130","Medium","5.5","7.5","30","60","12","Tolerant","-43","Routinely Available","No","Low"
"HYDE","","Hypericum densiflorum","","","Slow","","6.6","No","None","Yes","Yes","140","Medium","4.0","7.5","35","50","18","Tolerant","7","Routinely Available","No","Low"
"HYGA","","Hypericum galioides","","Medium","Moderate","2","2.5","No","None","No","Yes","220","High","4.6","7.2","32","55","10","Intolerant","-3","Routinely Available","No",""
"HYHI2","","Hypoxis hirsuta","","Medium","Moderate","","0.8","No","None","No","Yes","120","Medium","5.2","7.3","18","55","7","Intermediate","-33","Routinely Available","Yes",""
"ILAM2","","Ilex amelanchier","","","Slow","16","16","No","None","Yes","Yes","200","Medium","3.5","6.5","45","60","12","Tolerant","12","Routinely Available","Yes","Medium"
"ILCA","","Ilex cassine","","","Moderate","26","26","Yes","None","Yes","Yes","200","High","3.5","6.5","45","65","12","Tolerant","12","Routinely Available","Yes","Low"
"ILCO","","Ilex coriacea","","High","Moderate","12","12","Yes","None","No","Yes","200","High","5.5","6.7","30","70","16","Tolerant","7","Routinely Available","Yes",""
"ILCO80","","Ilex cornuta","","High","Moderate","8","8.0","Yes","None","Yes","Yes","160","Medium","4.5","5.5","26","60","18","Intolerant","-23","Routinely Available","Yes","Low"
"ILCR2","","Ilex crenata","","High","Slow","4","10","Yes","None","Yes","Yes","160","Medium","4.5","5.5","35","55","10","Tolerant","-13","Routinely Available","No",""
"ILDE","","Ilex decidua","","","Rapid","33","33","No","None","Yes","Yes","160","Medium","3.5","6.5","30","60","12","Tolerant","-18","Routinely Available","Yes","High"
"ILGL","","Ilex glabra","","High","Slow","5","8.0","Yes","None","Yes","Yes","165","High","4.5","7.0","32","60","16","Intolerant","-13","Routinely Available","Yes","Low"
"ILOP","","Ilex opaca","","High","Slow","20","40","Yes","None","Yes","Yes","140","Medium","4.5","7.0","40","80","30","Tolerant","-20","Routinely Available","Yes","Low"
"ILVE","","Ilex verticillata","","High","Moderate","6","10","No","None","No","Yes","140","High","4.5","7.5","35","60","16","Intermediate","-28","Routinely Available","Yes","Low"
"ILVO","","Ilex vomitoria","","High","Slow","20","25","Yes","None","Yes","Yes","200","Low","4.5","7.0","36","55","20","Intermediate","7","Routinely Available","Yes","Low"
"IMCA","","Impatiens capensis","","","Rapid","","4.9","No","None","Yes","Yes","95","Medium","6.4","7.4","14","50","14","Tolerant","32","Routinely Available","Yes",""
"IMPA","","Impatiens pallida","","","Rapid","","8.2","No","None","Yes","Yes","110","Medium","6.8","7.4","28","50","14","Tolerant","32","Routinely Available","Yes",""
"IPPE","","Ipomoea pes-caprae","","Medium","Moderate","","1.0","Yes","None","Yes","Yes","365","Medium","6.0","7.5","30","80","24","Intermediate","17","Routinely Available","Yes",""
"IPAGA3","","Ipomopsis aggregata ssp. aggregata","","High","Rapid","","3.0","No","None","Yes","Yes","140","Low","7.0","8.5","10","15","6","Intolerant","-18","Routinely Available","Yes","Low"
"IRFU","","Iris fulva","","Medium","Moderate","","3.3","No","None","No","Yes","180","High","5.0","8.5","40","65","16","Tolerant","-24","Routinely Available","Yes","Medium"
"IRMI","","Iris missouriensis","STATE, WSWS","High","Rapid","","1.0","No","None","Yes","Yes","115","High","7.0","8.5","24","35","6","Intermediate","-28","Routinely Available","Yes","Low"
"IRVI","","Iris virginica","","","Moderate","","3.3","No","None","No","Yes","200","High","4.8","7.3","45","65","6","Tolerant","12","Routinely Available","Yes","Low"
"ITVI","","Itea virginica","","Medium","Slow","10","10","No","None","No","Yes","180","High","4.0","7.5","30","60","14","Tolerant","-24","Routinely Available","Yes","High"
"IVFR","","Iva frutescens","","High","Moderate","9","9.0","No","None","Yes","Yes","200","High","5.0","5.7","35","65","16","Intolerant","2","Routinely Available","Yes","Low"
"JAOVS","","Jacquemontia ovalifolia ssp. sandwicensis","","Medium","Moderate","","0.5","Yes","None","Yes","Yes","365","Medium","6.0","7.5","25","35","24","Intermediate","50","Routinely Available","Yes",""
"JUCI","","Juglans cinerea","","High","Rapid","20","80","No","None","Yes","Yes","105","Medium","6.0","7.0","25","80","40","Intolerant","-33","Routinely Available","Yes","Low"
"JUMI","","Juglans microcarpa","","High","Slow","20","20","No","None","Yes","Yes","180","Medium","5.5","6.9","17","32","24","Intolerant","-3","Routinely Available","Yes",""
"JUNI","","Juglans nigra","","High","Rapid","35","100","No","None","No","Yes","170","High","4.6","8.2","30","60","40","Intolerant","-28","Routinely Available","Yes","Low"
"JURE80","","Juglans regia","","","Rapid","25","60","No","None","No","Yes","190","High","6.0","7.5","28","45","40","Intolerant","-8","Routinely Available","Yes","Low"
"JUAC","","Juncus acuminatus","","High","Moderate","","3.0","No","None","Yes","Yes","80","High","4.4","7.2","16","55","12","Intermediate","-33","Routinely Available","Yes","Low"
"JUARL","","Juncus arcticus ssp. littoralis","","","","","","","","","","","","","","","","","","","","",""
"JUARL","JUBA","Juncus balticus","","Medium","Rapid","","4.0","No","None","No","Yes","90","High","6.0","9.0","","","20","Intermediate","-43","Routinely Available","Yes","Medium"
"JUAR4","","Juncus articulatus","","Medium","Moderate","","2.0","No","None","Yes","Yes","95","High","4.8","7.5","18","40","8","Intermediate","-28","Routinely Available","Yes","Low"
"JUBR","","Juncus brachycarpus","","Medium","Moderate","","3.0","No","None","Yes","Yes","140","Medium","4.5","6.7","35","55","8","Intermediate","-23","Routinely Available","Yes","Low"
"JUBU","","Juncus bufonius","WSWS","Medium","Rapid","","1.0","No","None","Yes","Yes","60","Medium","4.6","7.6","10","55","6","Intolerant","47","Routinely Available","No","Low"
"JUCA3","","Juncus canadensis","","Medium","Rapid","","3.2","No","None","Yes","Yes","80","Medium","4.5","5.9","28","60","12","Intermediate","-33","Routinely Available","Yes","Low"
"JUCO2","","Juncus confusus","","Medium","Moderate","","1.5","No","None","Yes","Yes","85","High","6.0","8.0","10","30","10","Intermediate","-38","Routinely Available","Yes","Low"
"JUDI","","Juncus dichotomus","","High","Moderate","","2.9","No","None","Yes","Yes","200","Medium","4.5","6.5","13","60","8","Intermediate","12","Routinely Available","Yes","Low"
"JUDR","","Juncus drummondii","","High","Slow","","1.5","No","None","Yes","Yes","70","Medium","5.4","7.0","32","55","14","Intermediate","-38","Routinely Available","Yes","Low"
"JUEF","","Juncus effusus","HEAR","Medium","Moderate","","6.6","No","None","Yes","Yes","120","Medium","5.5","8.8","18","60","24","Intolerant","-38","Routinely Available","Yes","High"
"JUEN","","Juncus ensifolius","","Medium","Moderate","","2.0","No","None","Yes","Yes","80","High","6.0","8.0","8","40","11","Intermediate","-38","Routinely Available","Yes","Low"
"JUIN2","","Juncus interior","","Medium","Moderate","","3.0","No","None","Yes","Yes","90","Medium","5.7","7.0","20","55","10","Intermediate","-38","Routinely Available","Yes","Low"
"JULO","","Juncus longistylis","","Medium","Moderate","","1.8","No","None","Yes","Yes","80","High","6.0","8.0","8","40","10","Intermediate","-38","Routinely Available","Yes","Low"
"JUMA4","","Juncus marginatus","","Medium","Moderate","","2.0","No","None","Yes","Yes","90","Medium","5.5","6.8","32","55","8","Intermediate","-23","Routinely Available","Yes","Low"
"JUME3","","Juncus mertensianus","","Medium","Moderate","","0.9","No","None","Yes","Yes","100","High","6.0","8.0","10","30","8","Intermediate","-33","Routinely Available","Yes","Medium"
"JUME4","","Juncus mexicanus","","Medium","Moderate","","0.8","No","None","No","Yes","145","Medium","6.2","8.2","8","20","8","Intolerant","-18","Routinely Available","Yes","Medium"
"JUNE","","Juncus nevadensis","","Medium","Moderate","","2.0","No","None","Yes","Yes","100","High","6.0","7.8","10","30","12","Intermediate","-33","Routinely Available","Yes","Low"
"JUNO2","","Juncus nodosus","","High","Moderate","","2.0","No","None","Yes","Yes","150","Medium","4.0","7.5","35","50","18","Intolerant","-28","Routinely Available","Yes",""
"JURO","","Juncus roemerianus","","","Moderate","","4.9","No","None","No","Yes","200","High","4.0","7.0","40","60","14","Intolerant","17","Routinely Available","Yes",""
"JUSC","","Juncus scirpoides","","Medium","Moderate","","3.0","No","None","Yes","Yes","145","High","5.6","6.8","36","55","10","Tolerant","-3","Routinely Available","Yes","Low"
"JUTE","","Juncus tenuis","N'EAST","Medium","Slow","","1.5","No","None","Yes","Yes","85","Medium","4.5","7.0","10","55","6","Intermediate","-38","Routinely Available","No","Low"
"JUTO","","Juncus torreyi","","Medium","Moderate","","3.1","No","None","Yes","Yes","85","Medium","4.5","6.5","14","50","10","Intolerant","-38","Routinely Available","Yes","Low"
"JUTR4","","Juncus triglumis","","Medium","Moderate","","0.8","No","None","No","Yes","135","High","6.0","7.5","12","30","8","Intolerant","-23","Routinely Available","Yes","Medium"
"JUCH4","","Juniperus chinensis","","High","Rapid","12","60","No","None","Yes","Yes","110","Medium","4.5","7.5","30","60","14","Intolerant","-33","Routinely Available","No","Low"
"JUCO6","","Juniperus communis","","High","Slow","5","10","Yes","None","Yes","Yes","90","Low","5.5","8.0","20","60","14","Intolerant","-43","Routinely Available","Yes","Low"
"JUCO12","","Juniperus conferta","","High","Moderate","2","2.0","Yes","None","Yes","Yes","130","Medium","5.0","7.8","30","60","14","Intolerant","-13","Routinely Available","No","Low"
